[2026-02-08 00:00:35] | OPEN | Aurora | SUCCESS
[2026-02-08 00:00:43] | LOCK | Aurora | SUCCESS
[2026-02-08 00:01:06] | OPEN | Aurora | SUCCESS
[2026-02-08 00:01:21] | LOCK | Aurora | SUCCESS
[2026-02-08 00:01:24] | OPEN | Aurora | SUCCESS
[2026-02-08 00:01:39] | LOCK | Aurora | SUCCESS
[2026-02-08 00:01:42] | OPEN | Aurora | SUCCESS
[2026-02-08 00:02:42] | IDLE_LOCK | Aurora | SUCCESS
[2026-02-08 00:02:47] | OPEN | Aurora | SUCCESS
[2026-02-08 00:02:50] | AUTO_LOCK | Aurora | SUCCESS
[2026-02-08 00:05:46] | OPEN | Aurora | SUCCESS
[2026-02-08 00:05:52] | CHANGE_PASSWORD | Aurora | SUCCESS
[2026-02-08 00:05:56] | LOCK | Aurora | SUCCESS
[2026-02-08 00:06:01] | OPEN | Aurora | SUCCESS
[2026-02-08 00:06:10] | LOCK | Aurora | SUCCESS
[2026-02-08 00:06:16] | OPEN | Aurora | WRONG_PASSWORD
[2026-02-08 00:06:24] | CHANGE_PASSWORD | Aurora | SUCCESS
[2026-02-08 00:06:31] | OPEN | Aurora | SUCCESS
[2026-02-08 00:06:57] | LOCK | Aurora | SUCCESS
[2026-02-08 00:07:02] | OPEN | Aurora | SUCCESS
[2026-02-08 00:07:23] | LOCK | Aurora | SUCCESS
[2026-02-08 00:14:18] | OPEN | ObsraneDupsko | SUCCESS
[2026-02-08 00:14:27] | OPEN | ObsraneDupsko | SUCCESS
[2026-02-08 00:14:30] | LOCK | ObsraneDupsko | SUCCESS
[2026-02-08 00:14:33] | OPEN | ObsraneDupsko | SUCCESS
[2026-02-08 00:15:03] | LOCK | ObsraneDupsko | SUCCESS
[2026-02-08 00:15:06] | OPEN | ObsraneDupsko | SUCCESS
[2026-02-08 00:15:17] | CHANGE_PASSWORD | ObsraneDupsko | SUCCESS
[2026-02-08 00:15:22] | LOCK | ObsraneDupsko | SUCCESS
[2026-02-08 00:15:26] | OPEN | ObsraneDupsko | SUCCESS
[2026-02-08 00:15:37] | LOCK | ObsraneDupsko | SUCCESS
[2026-02-08 00:15:44] | CHANGE_PASSWORD | ObsraneDupsko | SUCCESS
[2026-02-08 00:15:48] | OPEN | ObsraneDupsko | WRONG_PASSWORD
[2026-02-08 00:15:51] | OPEN | ObsraneDupsko | SUCCESS
[2026-02-08 00:16:51] | IDLE_LOCK | ObsraneDupsko | SUCCESS
[2026-02-08 00:21:29] | LOCK | guwnozdupki | SUCCESS
[2026-02-08 00:21:41] | OPEN | guwnozdupki | WRONG_PASSWORD
[2026-02-08 00:21:47] | OPEN | guwnozdupki | WRONG_PASSWORD
[2026-02-08 00:21:52] | OPEN | guwnozdupki | WRONG_PASSWORD
[2026-02-08 00:21:58] | OPEN | guwnozdupki | WRONG_PASSWORD
[2026-02-08 00:22:04] | OPEN | Nowy folder | SUCCESS
[2026-02-08 00:22:09] | LOCK | Nowy folder | SUCCESS
[2026-02-08 00:22:20] | OPEN | guwnozdupki | WRONG_PASSWORD
[2026-02-08 00:22:24] | OPEN | guwnozdupki | WRONG_PASSWORD
[2026-02-08 00:22:28] | OPEN | guwnozdupki | WRONG_PASSWORD
[2026-02-08 00:23:07] | OPEN | Aurora | SUCCESS
[2026-02-08 00:23:16] | LOCK | Aurora | SUCCESS
[2026-02-08 00:34:53] | OPEN | guwnozdupki | WRONG_PASSWORD
[2026-02-08 00:34:57] | OPEN | guwnozdupki | WRONG_PASSWORD
[2026-02-08 00:35:02] | OPEN | guwnozdupki | WRONG_PASSWORD
[2026-02-08 00:36:25] | LOCK | newfolderxd | SUCCESS
[2026-02-08 00:36:31] | OPEN | newfolderxd | WRONG_PASSWORD
[2026-02-08 00:36:35] | OPEN | newfolderxd | WRONG_PASSWORD
[2026-02-08 00:36:39] | OPEN | newfolderxd | WRONG_PASSWORD
[2026-02-08 00:41:13] | OPEN | Aurora | SUCCESS
[2026-02-08 00:41:27] | LOCK | Aurora | SUCCESS
[2026-02-08 00:41:36] | OPEN | Nowy folder | SUCCESS
[2026-02-08 00:41:41] | LOCK | Nowy folder | SUCCESS
[2026-02-08 09:08:51] | OPEN | newfolderxd | WRONG_PASSWORD
[2026-02-08 09:08:56] | OPEN | newfolderxd | WRONG_PASSWORD
[2026-02-08 09:09:00] | OPEN | newfolderxd | WRONG_PASSWORD
[2026-02-08 09:09:28] | OPEN | Aurora | SUCCESS
[2026-02-08 09:09:38] | LOCK | Aurora | SUCCESS
[2026-02-08 09:10:02] | OPEN | Nowy folder | SUCCESS
[2026-02-08 09:10:06] | LOCK | Nowy folder | SUCCESS
[2026-02-08 09:12:44] | OPEN | Nowy folder | SUCCESS
[2026-02-08 09:13:09] | LOCK | Nowy folder | SUCCESS
[2026-02-08 09:13:28] | LOCK | jajko | SUCCESS
[2026-02-08 09:13:30] | OPEN | jajko | SUCCESS
[2026-02-08 09:13:39] | CHANGE_PASSWORD | jajko | SUCCESS
[2026-02-08 09:13:41] | LOCK | jajko | SUCCESS
[2026-02-08 09:13:49] | OPEN | jajko | WRONG_PASSWORD
[2026-02-08 09:13:52] | OPEN | jajko | SUCCESS
[2026-02-08 09:16:12] | OPEN | Nowy folder | SUCCESS
[2026-02-08 09:16:15] | LOCK | Nowy folder | SUCCESS
[2026-02-08 09:19:14] | OPEN | Nowy folder | SUCCESS
[2026-02-08 09:19:33] | LOCK | Nowy folder | SUCCESS
[2026-02-08 09:19:48] | LOCK | gunwo | SUCCESS
[2026-02-08 09:19:51] | OPEN | gunwo | SUCCESS
[2026-02-08 09:20:06] | LOCK | gunwo | SUCCESS
[2026-02-08 09:20:12] | CHANGE_PASSWORD | gunwo | SUCCESS
[2026-02-08 09:20:18] | OPEN | gunwo | WRONG_PASSWORD
[2026-02-08 09:20:21] | OPEN | gunwo | SUCCESS
[2026-02-08 09:20:29] | LOCK | gunwo | SUCCESS
[2026-02-08 09:41:09] | OPEN | gunwo | SUCCESS
[2026-02-08 09:41:27] | LOCK | gunwo | SUCCESS
[2026-02-08 09:41:48] | BACKUP | gunwo | SUCCESS
[2026-02-08 09:56:14] | OPEN | gunwo | SUCCESS
[2026-02-08 09:56:20] | PANIC_LOCK | Aurora | SUCCESS
[2026-02-08 09:56:20] | PANIC_LOCK | gunwo | SUCCESS
[2026-02-08 09:56:20] | PANIC_LOCK | Nowy folder | SUCCESS
[2026-02-08 09:56:41] | OPEN | gunwo | SUCCESS
[2026-02-08 09:56:48] | LOCK | gunwo | SUCCESS
[2026-02-08 09:57:58] | OPEN | gunwo | SUCCESS
[2026-02-08 09:58:06] | OPEN | Nowy folder | WRONG_PASSWORD
[2026-02-08 09:58:10] | OPEN | Nowy folder | SUCCESS
[2026-02-08 09:58:35] | CHANGE_PASSWORD | Nowy folder | SUCCESS
[2026-02-08 09:58:40] | LOCK | Nowy folder | SUCCESS
[2026-02-08 09:58:42] | OPEN | Nowy folder | SUCCESS
[2026-02-08 09:59:36] | LOCK | gunwo | SUCCESS
[2026-02-08 09:59:39] | OPEN | gunwo | SUCCESS
[2026-02-08 09:59:44] | LOCK | gunwo | SUCCESS
[2026-02-08 10:01:50] | OPEN | gunwo | SUCCESS
[2026-02-08 10:02:22] | LOCK | gunwo | SUCCESS
[2026-02-08 10:02:36] | LOCK | jajco | SUCCESS
[2026-02-08 10:02:48] | CHANGE_PASSWORD | jajco | SUCCESS
[2026-02-08 10:02:54] | OPEN | jajco | SUCCESS
[2026-02-08 10:03:04] | OPEN | gunwo | SUCCESS
[2026-02-08 10:03:08] | PANIC_LOCK | gunwo | SUCCESS
[2026-02-08 10:03:08] | PANIC_LOCK | jajco | SUCCESS
[2026-02-08 10:05:02] | OPEN | gunwo | SUCCESS
[2026-02-08 10:05:05] | LOCK | gunwo | SUCCESS
[2026-02-08 10:05:12] | OPEN | jajco | WRONG_PASSWORD
[2026-02-08 10:05:15] | OPEN | jajco | SUCCESS
[2026-02-08 10:05:20] | AUTO_LOCK | jajco | SUCCESS
